train_days,test_day,mu_agg_mean,gamma_agg_mean,OOS_MAE_TT,OOS_RMSE_TT,OOS_MAPE_TT_%
64,707,1522.5,0.954041482,0.058065935,0.104481318,13.04469158
64,710,1522.5,0.954041482,0.055807573,0.095550353,14.29679357
64,711,1522.5,0.954041482,0.048247342,0.074051458,13.25828533
64,712,1522.5,0.954041482,0.082422597,0.151385977,19.04419379
64,713,1522.5,0.954041482,0.065694885,0.109315035,14.62014629
64,714,1522.5,0.954041482,0.142040919,0.254682266,24.30969568
64,717,1522.5,0.954041482,0.053998226,0.095220299,13.31669321
64,718,1522.5,0.954041482,0.055222488,0.085334191,14.06884921
64,719,1522.5,0.954041482,0.042953944,0.068689529,11.71098311
64,720,1522.5,0.954041482,0.138198443,0.315429644,22.25448673
64,721,1522.5,0.954041482,0.06766602,0.115302711,13.5590851
64,724,1522.5,0.954041482,0.035812935,0.055905959,11.06152768
64,725,1522.5,0.954041482,0.047308835,0.07345237,12.91634529
64,726,1522.5,0.954041482,0.050186853,0.086932141,11.22413716
64,727,1522.5,0.954041482,0.07147652,0.122364604,16.5228202
64,728,1522.5,0.954041482,0.111779373,0.199297983,20.50380128
64,731,1522.5,0.954041482,0.04894813,0.083867594,12.90578594
,,,AVERAGE,0.069,0.123,15.213