day,day4,q_vph,tt_obs_min,tt_pred_agg_min
07-25,0725,414,0.20324005891016197,0.19772211913089396
07-25,0725,399,0.20145985401459857,0.19765916307188242
07-25,0725,429,0.20087336244541487,0.19779009565140931
07-25,0725,369,0.2038404726735598,0.19754750180369066
07-25,0725,282,0.20444444444444446,0.19731784323802687
07-25,0725,354,0.20294117647058826,0.19749839359701288
07-25,0725,264,0.2038404726735598,0.19728531879422762
07-25,0725,312,0.21068702290076338,0.1973826771150536
07-25,0725,291,0.2103658536585366,0.19733584960393713
07-25,0725,255,0.20535714285714285,0.1972707170926233
07-25,0725,222,0.20294117647058826,0.1972258598130348
07-25,0725,228,0.2090909090909091,0.1972330558379527
07-25,0725,183,0.20720720720720726,0.19718830522902034
07-25,0725,204,0.2075187969924812,0.19720662521866977
07-25,0725,243,0.20535714285714285,0.19725287672632752
07-25,0725,213,0.20720720720720726,0.19721581254177104
07-25,0725,174,0.2132921174652241,0.19718169304410216
07-25,0725,180,0.2090909090909091,0.19718602249680364
07-25,0725,147,0.2090909090909091,0.19716581451256568
07-25,0725,153,0.209726443768997,0.1971688640332742
07-25,0725,180,0.20414201183431954,0.19718602249680364
07-25,0725,168,0.21068702290076338,0.19717766846763987
07-25,0725,162,0.21198156682027652,0.19717393704197933
07-25,0725,120,0.2100456621004566,0.19715505110691256
07-25,0725,111,0.21068702290076338,0.1971524199805163
07-25,0725,132,0.20689655172413793,0.1971592703213946
07-25,0725,123,0.21904761904761905,0.19715602691126494
07-25,0725,123,0.21100917431192662,0.19715602691126494
07-25,0725,159,0.20535714285714285,0.1971721776099056
07-25,0725,105,0.2100456621004566,0.1971508988173059
07-25,0725,93,0.2103658536585366,0.19714836555832205
07-25,0725,126,0.20689655172413793,0.19715705443981743
07-25,0725,129,0.2103658536585366,0.1971581351045476
07-25,0725,144,0.2081447963800905,0.19716438516291326
07-25,0725,132,0.20566318926974667,0.1971592703213946
07-25,0725,93,0.20877458396369142,0.19714836555832205
07-25,0725,117,0.2065868263473054,0.19715412561882914
07-25,0725,108,0.2090909090909091,0.1971516370354815
07-25,0725,159,0.20597014925373136,0.1971721776099056
07-25,0725,147,0.20414201183431954,0.19716581451256568
07-25,0725,132,0.20627802690582958,0.1971592703213946
07-25,0725,150,0.20566318926974667,0.19716730698882956
07-25,0725,156,0.20474777448071216,0.19717048709086515
07-25,0725,168,0.20535714285714285,0.19717766846763987
07-25,0725,168,0.2078313253012048,0.19717766846763987
07-25,0725,171,0.20689655172413793,0.19717964338031557
07-25,0725,183,0.2081447963800905,0.19718830522902034
07-25,0725,195,0.20720720720720726,0.19719825733675245
07-25,0725,189,0.2075187969924812,0.19719311408519258
07-25,0725,240,0.2090909090909091,0.1972486972305723
07-25,0725,237,0.20566318926974667,0.1972446269169284
07-25,0725,318,0.20597014925373136,0.19739735033228703
07-25,0725,312,0.20566318926974667,0.1973826771150536
07-25,0725,273,0.2065868263473054,0.1973010135991129
07-25,0725,369,0.20414201183431954,0.19754750180369066
07-25,0725,384,0.20175438596491227,0.1976010246168032
07-25,0725,363,0.2020497803806735,0.19752733999436617
07-25,0725,534,0.19913419913419916,0.19842371988134258
07-25,0725,519,0.2038404726735598,0.19831485047652894
07-25,0725,558,0.19714285714285715,0.19861187693125237
07-25,0725,753,0.19246861924686193,0.2008824387097271
07-25,0725,747,0.19519094766619519,0.2007903221771597
07-25,0725,795,0.1985611510791367,0.2015719283456903
07-25,0725,843,0.20087336244541487,0.20246013489545997
07-25,0725,843,0.2020497803806735,0.20246013489545997
07-25,0725,918,0.20353982300884957,0.2040785425319855
07-25,0725,867,0.20444444444444446,0.2029464670314615
07-25,0725,999,0.20627802690582958,0.2061705782944478
07-25,0725,1014,0.2094081942336874,0.20659993584162398
07-25,0725,1107,0.209726443768997,0.2095756726997428
07-25,0725,1134,0.2084592145015106,0.21054570289136743
07-25,0725,1110,0.2094081942336874,0.20968101813581969
07-25,0725,1317,0.19686162624821685,0.21851061876446484
07-25,0725,1065,0.20597014925373136,0.20816330425534357
07-25,0725,1131,0.2103658536585366,0.21043546899666113
07-25,0725,1311,0.2132921174652241,0.21820858533882298
07-25,0725,1359,0.2126348228043143,0.22070767232370486
07-25,0725,1317,0.21495327102803738,0.21851061876446484
07-25,0725,1395,0.2152886115444618,0.22270893714582138
07-25,0725,1500,0.215625,0.22919987996202476
07-25,0725,1467,0.21495327102803738,0.2270519434104388
07-25,0725,1527,0.2132921174652241,0.23103336084518372
07-25,0725,1470,0.21100917431192662,0.22724304368163936
07-25,0725,1575,0.22115384615384617,0.2344664928824253
07-25,0725,1623,0.2094081942336874,0.2381284956463136
07-25,0725,1437,0.212962962962963,0.22518604753582075
07-25,0725,1605,0.215962441314554,0.23672792870789383
07-25,0725,1623,0.21939586645469,0.2381284956463136
07-25,0725,1596,0.2163009404388715,0.23603999745630827
07-25,0725,1446,0.21766561514195587,0.22573725778873022
07-25,0725,1638,0.21974522292993634,0.23932104166467863
07-25,0725,1644,0.21870047543581617,0.23980458523809076
07-25,0725,1545,0.21939586645469,0.2322944591300712
07-25,0725,1590,0.21766561514195587,0.23558591655111433
07-25,0725,1557,0.22294022617124398,0.23315266614769264
07-25,0725,1419,0.22009569377990432,0.2241053633854701
07-25,0725,1473,0.22115384615384617,0.22743497162352702
07-25,0725,1641,0.22585924713584288,0.23956234545626878
07-25,0725,1542,0.22885572139303484,0.2320820996399701
07-25,0725,1620,0.2292358803986711,0.23789276765356235
07-25,0725,1551,0.22330097087378645,0.2327218050284985
07-25,0725,1512,0.22585924713584288,0.2300062125879047
07-25,0725,1584,0.2319327731092437,0.23513544980105427
07-25,0725,1539,0.22772277227722773,0.23187061325751737
07-25,0725,1551,0.22366288492706643,0.2327218050284985
07-25,0725,1470,0.22186495176848875,0.22724304368163936
07-25,0725,1374,0.22622950819672133,0.22152807960304158
07-25,0725,1461,0.22475570032573292,0.22667221833008333
07-25,0725,1359,0.22549019607843138,0.22070767232370486
07-25,0725,1293,0.22885572139303484,0.2173199040359604
07-25,0725,1461,0.23589743589743592,0.22667221833008333
07-25,0725,1503,0.23232323232323232,0.22940018852905633
07-25,0725,1536,0.2391681109185442,0.23165999808443602
07-25,0725,1425,0.2319327731092437,0.2244623888000786
07-25,0725,1605,0.23670668953687823,0.23672792870789383
07-25,0725,1452,0.234295415959253,0.22610879106404347
07-25,0725,1521,0.23589743589743592,0.2306199239504162
07-25,0725,1602,0.23589743589743592,0.23649770776284124
07-25,0725,1554,0.23469387755102042,0.23293679523554842
07-25,0725,1548,0.234295415959253,0.23250769362653223
07-25,0725,1680,0.22475570032573292,0.2427851664720899
07-25,0725,1620,0.2387543252595156,0.23789276765356235
07-25,0725,1635,0.24041811846689898,0.23908067195108243
07-25,0725,1578,0.24125874125874125,0.23468858196668999
07-25,0725,1686,0.24338624338624337,0.24329529298601058
07-25,0725,1671,0.24468085106382984,0.24202717855724695
07-25,0725,1779,0.24598930481283424,0.25170521117478856
07-25,0725,1596,0.24598930481283424,0.23603999745630827
07-25,0725,1683,0.2490974729241877,0.2430397483268241
07-25,0725,1566,0.24468085106382984,0.23380558212126784
07-25,0725,1740,0.25090909090909097,0.24806192525552556
07-25,0725,1671,0.24598930481283424,0.24202717855724695
07-25,0725,1548,0.24424778761061947,0.23250769362653223
07-25,0725,1644,0.24731182795698925,0.23980458523809076
07-25,0725,1611,0.250453720508167,0.2371911117178179
07-25,0725,1626,0.25,0.23836514816206278
07-25,0725,1653,0.24820143884892087,0.24053693965349182
07-25,0725,1590,0.24381625441696111,0.23558591655111433
07-25,0725,1614,0.24125874125874125,0.23742407759844597
07-25,0725,1623,0.24424778761061947,0.2381284956463136
07-25,0725,1545,0.24125874125874125,0.2322944591300712
07-25,0725,1638,0.24041811846689898,0.23932104166467863
07-25,0725,1710,0.24598930481283424,0.24537454150466634
07-25,0725,1578,0.24864864864864866,0.23468858196668999
07-25,0725,1680,0.2354948805460751,0.2427851664720899
07-25,0725,1626,0.24295774647887328,0.23836514816206278
07-25,0725,1713,0.250453720508167,0.24563883777724846
07-25,0725,1689,0.2851239669421488,0.24355180236798854
07-25,0725,1734,0.304635761589404,0.24751651552686554
07-25,0725,1680,0.30329670329670333,0.2427851664720899
07-25,0725,1734,0.26692456479690524,0.24751651552686554
07-25,0725,1629,0.26436781609195403,0.23860272711098104
07-25,0725,1698,0.2608695652173913,0.24432713804008316
07-25,0725,1695,0.2598870056497175,0.24406772297568285
07-25,0725,1659,0.2684824902723736,0.2410298909577579
07-25,0725,1563,0.2754491017964072,0.23358705768946422
07-25,0725,1767,0.2782258064516129,0.2505659579434244
07-25,0725,1632,0.2839506172839506,0.23884123440365426
07-25,0725,1689,0.2987012987012987,0.24355180236798854
07-25,0725,1599,0.3467336683417086,0.2362683979812558
07-25,0725,1602,0.39541547277936967,0.23649770776284124
07-25,0725,1542,0.4233128834355828,0.2320820996399701
07-25,0725,1488,0.4437299035369775,0.2284070924915624
07-25,0725,1563,0.4584717607973422,0.23358705768946422
07-25,0725,1443,0.4662162162162162,0.22555271096704707
07-25,0725,1395,0.48763250883392223,0.22270893714582138
07-25,0725,1605,0.47260273972602745,0.23672792870789383
07-25,0725,1494,0.4466019417475729,0.228801800650819
07-25,0725,1629,0.4339622641509434,0.23860272711098104
07-25,0725,1602,0.42990654205607476,0.23649770776284124
07-25,0725,1551,0.44230769230769235,0.2327218050284985
07-25,0725,1626,0.4742268041237113,0.23836514816206278
07-25,0725,1530,0.44805194805194803,0.23124137377545648
07-25,0725,1623,0.44516129032258067,0.2381284956463136
07-25,0725,1422,0.4842105263157895,0.22428347733089218
07-25,0725,1563,0.4981949458483754,0.23358705768946422
07-25,0725,1533,0.5247148288973384,0.2314502522228843
07-25,0725,1494,0.518796992481203,0.228801800650819
07-25,0725,1452,0.5390625,0.22610879106404347
07-25,0725,1494,0.549800796812749,0.228801800650819
07-25,0725,1689,0.5149253731343284,0.24355180236798854
07-25,0725,1515,0.5348837209302325,0.2302099263715951
07-25,0725,1482,0.5774058577405858,0.22801574035628017
07-25,0725,1476,0.5679012345679012,0.22762772912417237
07-25,0725,1527,0.5433070866141734,0.23103336084518372
07-25,0725,1527,0.552,0.23103336084518372
07-25,0725,1515,0.5369649805447472,0.2302099263715951
07-25,0725,1563,0.5227272727272727,0.23358705768946422
07-25,0725,1539,0.518796992481203,0.23187061325751737
07-25,0725,1452,0.549800796812749,0.22610879106404347
07-25,0725,1230,0.6798029556650246,0.2144101874503041
07-25,0725,1317,0.6798029556650246,0.21851061876446484
07-25,0725,1206,0.7540983606557378,0.2133813225844904
07-25,0725,1446,0.6540284360189573,0.22573725778873022
07-25,0725,1356,0.6831683168316832,0.22054587276578683
07-25,0725,1158,0.8214285714285714,0.21145002239049648
07-25,0725,1008,1.0222222222222224,0.20642656591387723
07-25,0725,1401,0.8023255813953489,0.22305332245067402
07-25,0725,1386,0.7263157894736842,0.22219820913774987
07-25,0725,1419,0.6448598130841122,0.2241053633854701
07-25,0725,1389,0.6571428571428571,0.22236767431506935
07-25,0725,936,0.9387755102040817,0.20451139000582494
07-25,0725,1419,0.6865671641791045,0.2241053633854701
07-25,0725,1524,0.549800796812749,0.23082621153553465
07-25,0725,897,0.8313253012048192,0.20359577726757885
07-25,0725,1251,0.851851851851852,0.21534601586743454
07-25,0725,1332,0.7976878612716763,0.21927854493859816
07-25,0725,1584,0.5774058577405858,0.23513544980105427
07-25,0725,1317,0.69,0.21851061876446484
07-25,0725,1287,0.7582417582417582,0.21702943363089863
07-25,0725,1095,0.9139072847682119,0.20916030103653097
07-25,0725,1152,0.965034965034965,0.2112201754645712
07-25,0725,1221,0.9387755102040817,0.21401932766330492
07-25,0725,1176,0.9387755102040817,0.21215483689640263
07-25,0725,1242,0.8903225806451613,0.21494083683581117
07-25,0725,1395,0.7340425531914894,0.22270893714582138
07-25,0725,1275,0.7840909090909091,0.21645703861785065
07-25,0725,1386,0.696969696969697,0.22219820913774987
07-25,0725,1254,0.745945945945946,0.2154824553208994
07-25,0725,1227,0.7709497206703911,0.21427922514983197
07-25,0725,1182,0.8625,0.21239491530149754
07-25,0725,1353,0.7150259067357513,0.22038482947548454
07-25,0725,1551,0.549800796812749,0.2327218050284985
07-25,0725,1653,0.48083623693379796,0.24053693965349182
07-25,0725,1608,0.48763250883392223,0.23695906272366307
07-25,0725,984,0.7225130890052356,0.20575465802452914
07-25,0725,1170,0.8313253012048192,0.21191733841273064
07-25,0725,1500,0.6106194690265486,0.22919987996202476
07-25,0725,1281,0.6798029556650246,0.21674181677962326
07-25,0725,1527,0.5702479338842976,0.23103336084518372
07-25,0725,1503,0.5433070866141734,0.22940018852905633
07-25,0725,1473,0.5587044534412956,0.22743497162352702
07-25,0725,1506,0.5267175572519084,0.22960134556030393
07-25,0725,1509,0.48763250883392223,0.229803352948771
07-25,0725,1515,0.47916666666666663,0.2302099263715951
07-25,0725,1575,0.4662162162162162,0.2344664928824253
07-25,0725,1548,0.4466019417475729,0.23250769362653223
07-25,0725,1689,0.38655462184873945,0.24355180236798854
07-25,0725,1623,0.3965517241379311,0.2381284956463136
07-25,0725,1665,0.360313315926893,0.24152663215152562
07-25,0725,1635,0.30396475770925113,0.23908067195108243
07-25,0725,1476,0.26538461538461544,0.22762772912417237
07-25,0725,1593,0.2593984962406015,0.2358125042815901
07-25,0725,1494,0.24775583482944344,0.228801800650819
07-25,0725,1401,0.24083769633507854,0.22305332245067402
07-25,0725,1371,0.234295415959253,0.22136247064368864
07-25,0725,1461,0.22961730449251247,0.22667221833008333
07-25,0725,1218,0.22847682119205298,0.2138903887820419
07-25,0725,1227,0.2292358803986711,0.21427922514983197
07-25,0725,1311,0.22847682119205298,0.21820858533882298
07-25,0725,1095,0.22622950819672133,0.20916030103653097
07-25,0725,1302,0.22622950819672133,0.21776099259258325
07-25,0725,1314,0.22115384615384617,0.21835923698376902
07-25,0725,1206,0.215962441314554,0.2133813225844904
07-25,0725,1212,0.21068702290076338,0.2136345215094988
07-25,0725,1218,0.2113323124042879,0.2138903887820419
07-25,0725,1308,0.2094081942336874,0.21805866196678597
07-25,0725,1182,0.212962962962963,0.21239491530149754
07-25,0725,1155,0.2126348228043143,0.21133478286687976
07-25,0725,1104,0.2123076923076923,0.20947093009708634
07-25,0725,1098,0.2152886115444618,0.20926324609020713
07-25,0725,1089,0.2132921174652241,0.20895619570946738
07-25,0725,1011,0.2113323124042879,0.20651297852235162
07-25,0725,1053,0.2090909090909091,0.20778077263450548
07-25,0725,993,0.20566318926974667,0.20600261033879033
07-25,0725,1122,0.2123076923076923,0.21010846474673195
07-25,0725,1131,0.2116564417177914,0.21043546899666113
07-25,0725,948,0.2094081942336874,0.20480992614048008
07-25,0725,933,0.2084592145015106,0.2044380098232333
07-25,0725,822,0.2075187969924812,0.20205796624910874
07-25,0725,738,0.209726443768997,0.2006550559816805
07-25,0725,747,0.20597014925373136,0.2007903221771597
07-25,0725,789,0.20444444444444446,0.20146854534682504
07-25,0725,678,0.20720720720720726,0.1998391467761611
07-25,0725,759,0.2094081942336874,0.2009761227741975
07-25,0725,654,0.20597014925373136,0.19955259222262664
07-25,0725,588,0.2146189735614308,0.19887240542146428
07-25,0725,678,0.2116564417177914,0.1998391467761611
07-25,0725,720,0.2103658536585366,0.200394822178987
07-25,0725,624,0.2094081942336874,0.19922442526769066
07-25,0725,585,0.20444444444444446,0.19884504293494681
07-25,0725,540,0.20444444444444446,0.19846912420136487
07-25,0725,507,0.20444444444444446,0.19823241857663412
07-25,0725,546,0.2078313253012048,0.1985156095248349
07-25,0725,549,0.2078313253012048,0.19853926175997547
07-25,0725,513,0.20535714285714285,0.1982731241391163
07-25,0725,438,0.21428571428571427,0.19783337609936863
07-25,0725,393,0.2090909090909091,0.19763534090763157
